,,Notes,Artificial Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,
,Script ID,,Artificial,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parent Personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,A.I. Unit,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,Data,Scripting info for reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plan,Mini personal history,"See below, this is the entry for a generic (A.I.) pilot.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Personality,Character guidelines for chatter,"
Artificial pilots are assigned to mechs as a last resort in combat. While they are capable of fighting, Mechs excel and become better when manned by a human pilot (or Pinnacle A.I., which are far more advanced). Artificial pilots are often present in the corporate islands, but not accorded the same status nor have the same extent of personality that the Pinnacle robots do.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game States,Gamestart,This happens at the start of a new game,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTL_Found,Happens on the island screen after finding the FTL pilot in a pod.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTL_Start,Happens after you start a new game with an FTL pilot. Only needed for Recruits,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,Gamestart_PostVictory,Start of new game after winning,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Death_Revived,"If this unit is dead, but gets repaired","""Status: Functional"",
""Status: Reactivated""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Death_Main,If this unit dies.,"""Damage Report: Critical"",",,,,,,,,,,,,,,,,,,,,,,,,,,
,Death_Response,"If another unit dies.
Use #main to say the dying unit's name.","""Pilot #main_second: Deceased\nTactical Efficiency: Compromised""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Death_Response_AI,If another Mech dies but it doesn't have a pilot to die.,"""#main_mech: Destroyed\nTactical Efficiency: Compromised""",,,,,,,,,,,,,,,,,,,,,,,,,,
*,TimeTravel_Win,Last thing pilot says before time traveling after a victory.,"""Update: Data drives ready for temporal breach""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Gameover_Start,Right when you lose,"""Status: Power Grid collapsing\nVek: Unstoppable""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Gameover_Response,Response to above,"""Humanity: Destroyed\nInitiate: Time breach""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Barks,Upgrade_PowerWeapon,Turn on a new weapon.,"""Interfacing: New equipment detected"",
""Interfacing: Accessing new schematics""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Upgrade_NoWeapon,If you have no weapon powered. This plays every time you remove all weapons from the Pilot.,"""Error: No weapon detected"",
""Tactical Efficiency: Sub-optimal"",
""Warning: Weapon systems offline""",,,,,,,,,,,,,,,,,,,,,,,,,,
,Upgrade_PowerGeneric,"Diverting reactor power to either Health or Move (basic Mech stats, not a weapon).","""Calibrating: Optimizing power levels"",
""Update: Power distribution complete"",
""Status: Mech optimized""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid- Battle,MissionStart,Generic mission start,"""Weapons: Online"",
""Update: Multiple targets detected""",,,,,,,,,,,,,,,,,,,,,,,,,,
*,Mission_ResetTurn,Triggers after a turn reset,"""Update: Localized breach completed""",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionEnd_Dead,Generic mission end where enemies are all killed,"""Update: Mission successful\nObjective: Completed"",
""Update: Mission complete\nWeapons: Offline""",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionEnd_Retreat,Generic mission end when enemies retreat,"""Update: Hostiles retreating""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Start,Plays at the start of the final mission,"""Emergency: Power Grid out of range"",",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_StartResponse,Incoming power pylons,"""Update: Pylons incoming""",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_FallStart,Plays at the start of the ground falling in the final mission,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_FallResponse,Plays once the ground shakes,"""Update: Island collapsing""",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Pylons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Bomb,What's the plan?,"""Update: Target acquired\nMission: Destroy Vek hive""",,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_BombResponse,Before dropping the bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_CaveStart,Plays at the start of the final cave section (after MissionFinal_BombResponse),"""Priority Update: Defend the bomb""",,,,,,,,,,,,,,,,,,,,,,,,,,
*,MissionFinal_BombDestroyed,"When the bomb is destroyed, another one is dropped and the battle length is extended.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_BombArmed,,"""Priority Update: Bomb armed""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PodIncoming,Pod is about to fall,"""Update: Pod detected""",,,,,,,,,,,,,,,,,,,,,,,,,,
,PodResponse,Response to above,"""New Secondary Objective: Acquire Pod resources""",,,,,,,,,,,,,,,,,,,,,,,,,,
